
10000, 50, 1.400795, 0.007004, 200
10000, 100, 1.408449, 0.007042, 200
10000, 150, 1.425176, 0.007126, 200
10000, 200, 1.303712, 0.006519, 200
10000, 250, 1.274448, 0.006372, 200
10000, 300, 1.291919, 0.006460, 200
10000, 400, 1.466439, 0.007332, 200
10000, 500, 1.843072, 0.009215, 200
10000, 600, 2.270254, 0.011351, 200
10000, 700, 2.887947, 0.014440, 200
10000, 800, 2.189691, 0.010948, 200
10000, 900, 1.588942, 0.007945, 200
10000, 1000, 1.505892, 0.007529, 200
10000, 25, 1.137232, 0.005686, 200
10000, 50, 1.047401, 0.005237, 200
10000, 75, 1.023808, 0.005119, 200
10000, 100, 1.050600, 0.005253, 200
10000, 100, 1.002577, 0.005013, 200
10000, 100, 1.003121, 0.005016, 200
10000, 100, 0.892783, 0.004464, 200
